remark,"CSV-Import-Export"
remark,"Date = Thu Jul 09 14:18:08 2015"
remark,"Version = RSLogix 5000 v20.01"
remark,"Owner = SUTD_ITrust"
remark,"Company = SUTD_ITrust"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,MainProgram,Duty2_FBD_01,"","Duty2_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,MV_FBD_01,"","MV_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,SWITCH_FBD_01,"","SWITCH_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,VSD_FBD_01,"","VSD_FBD","","(Constant := false, ExternalAccess := Read/Write)"
