remark,"CSV-Import-Export"
remark,"Date = Thu Jul 09 14:10:17 2015"
remark,"Version = RSLogix 5000 v20.01"
remark,"Owner = SUTD_ITrust"
remark,"Company = SUTD_ITrust"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,WRIO4:1:C,"","AB:1734_IE4:C:0","","(ExternalAccess := Read/Write)"
TAG,,WRIO4:1:I,"","AB:1734_IE4:I:0","","(ExternalAccess := Read/Write)"
TAG,,WRIO4:I,"","PS:1734_2SLOT:I:0","","(ExternalAccess := Read/Write)"
TAG,,WRIO4:O,"","PS:1734_2SLOT:O:0","","(ExternalAccess := Read/Write)"
TAG,,RIO4:0:C,"","AB:1794_IB32:C:0","","(ExternalAccess := Read/Write)"
TAG,,RIO4:0:I,"","AB:1794_IB32:I:0","","(ExternalAccess := Read/Write)"
TAG,,RIO4:1:C,"","AB:1794_DO16:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,RIO4:1:O,"","","RIO4:O.Data[1]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,RIO4:2:C,"","AB:1794_IE12:C:0","","(ExternalAccess := Read/Write)"
TAG,,RIO4:2:I,"","AB:1794_IE12:I:0","","(ExternalAccess := Read/Write)"
TAG,,RIO4:2:O,"","AB:1794_IE12:O:0","","(ExternalAccess := Read/Write)"
TAG,,RIO4:I,"","AB:1794_AEN_8SLOT:I:0","","(ExternalAccess := Read/Write)"
TAG,,RIO4:O,"","AB:1794_AEN_8SLOT:O:0","","(ExternalAccess := Read/Write)"
TAG,,P5:I,"","AB:1756_ENET_4SLOT:I:0","","(ExternalAccess := Read/Write)"
TAG,,P5:O,"","AB:1756_ENET_4SLOT:O:0","","(ExternalAccess := Read/Write)"
TAG,,AIT401_FB,"","AIN_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,AIT401_FB_01,"","AIN_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,AIT402_FB,"","AIN_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_AIT_401_HRDNSS,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_AIT_401_HRDNSS_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_AIT_402_ORP,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_AIT_402_ORP_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_FIT_401_FLOW,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_FIT_401_FLOW_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
